pair_id,doc_id_a,text_a,doc_id_b,text_b,label,expected_cluster_a,expected_cluster_b
0,0,"I lived at West Egg, the--well, the less fashionable of the two, though this is a most superficial tag to express the bizarre and not a little sinister contrast between them. My house was at the very tip of the egg, only fifty yards from the Sound, and squeezed between two huge places that rented for twelve or fifteen thousand a season. The one on my right was a colossal affair by any standard--it was a factual imitation of some Hotel de Ville in Normandy, with a tower on one side, spanking new under a thin beard of raw ivy, and a marble swimming pool, and more than forty acres of lawn and garden. It was Gatsby’s mansion. Or, rather, as I didn’t know Mr. Gatsby, it was a mansion inhabited by a gentleman of that name. My own house was an eyesore, but it was a small eyesore, and it had been overlooked, so I had a view of the water, a partial view of my neighbour’s lawn, and the consoling proximity of millionaires--all for eighty dollars a month.",0,"I lived at West Egg, the--well, the less fashionable of the two, though this is a most superficial tag to express the bizarre and not a little sinister contrast between them. My house was at the very tip of the egg, only fifty yards from the Sound, and squeezed between two huge places that rented for twelve or fifteen thousand a season. The one on my right was a colossal affair by any standard--it was a factual imitation of some Hotel de Ville in Normandy, with a tower on one side, spanking new under a thin beard of raw ivy, and a marble swimming pool, and more than forty acres of lawn and garden. It was Gatsby’s mansion. Or, rather, as I didn’t know Mr. Gatsby, it was a mansion inhabited by a gentleman of that name. My own house was an eyesore, but it was a small eyesore, and it had been overlooked, so I had a view of the water, a partial view of my neighbour’s lawn, and the consoling proximity of millionaires--all for eighty dollars a month.",0,0,0
1,0,"I lived at West Egg, the--well, the less fashionable of the two, though this is a most superficial tag to express the bizarre and not a little sinister contrast between them. My house was at the very tip of the egg, only fifty yards from the Sound, and squeezed between two huge places that rented for twelve or fifteen thousand a season. The one on my right was a colossal affair by any standard--it was a factual imitation of some Hotel de Ville in Normandy, with a tower on one side, spanking new under a thin beard of raw ivy, and a marble swimming pool, and more than forty acres of lawn and garden. It was Gatsby’s mansion. Or, rather, as I didn’t know Mr. Gatsby, it was a mansion inhabited by a gentleman of that name. My own house was an eyesore, but it was a small eyesore, and it had been overlooked, so I had a view of the water, a partial view of my neighbour’s lawn, and the consoling proximity of millionaires--all for eighty dollars a month.",1,"I lived at West Egg, the less fashionable of the two, though this is a most superficial tag to express the bizarre and sinister contrast between them. My house was at the very tip of the egg, only fifty yards from the Sound, and squeezed between 2 huge places that rented for 12-15 thousand per season. The one on my right was a colossal. It was a factual imitation of some Hotel de Ville in Normandy, with a tower on one side, spanking new under a thin beard of raw ivy, a swimming pool of marble, and more than forty acres of lawn and garden. It was a mansion inhabited by a gentleman named Gatsby. My own house was an eyesore, but it was a small eyesore, and it had been overlooked, so I had a view of the water, a partial view of my neighbour’s lawn, and the consoling proximity of millionaires--all for eighty bucks a month.",1,0,0
2,0,"I lived at West Egg, the--well, the less fashionable of the two, though this is a most superficial tag to express the bizarre and not a little sinister contrast between them. My house was at the very tip of the egg, only fifty yards from the Sound, and squeezed between two huge places that rented for twelve or fifteen thousand a season. The one on my right was a colossal affair by any standard--it was a factual imitation of some Hotel de Ville in Normandy, with a tower on one side, spanking new under a thin beard of raw ivy, and a marble swimming pool, and more than forty acres of lawn and garden. It was Gatsby’s mansion. Or, rather, as I didn’t know Mr. Gatsby, it was a mansion inhabited by a gentleman of that name. My own house was an eyesore, but it was a small eyesore, and it had been overlooked, so I had a view of the water, a partial view of my neighbour’s lawn, and the consoling proximity of millionaires--all for eighty dollars a month.",2,"I lived at the very tip of West Egg, fifty yards from the sound, and between two larger properties that cost twelve or fifteen thousand to rent for a season. One of the neighboring properties belonged to a Mr. Gatsby, who I didn't know.  My house was smaller than his and cost me eighty dollars a month.  ",2,0,0
3,0,"I lived at West Egg, the--well, the less fashionable of the two, though this is a most superficial tag to express the bizarre and not a little sinister contrast between them. My house was at the very tip of the egg, only fifty yards from the Sound, and squeezed between two huge places that rented for twelve or fifteen thousand a season. The one on my right was a colossal affair by any standard--it was a factual imitation of some Hotel de Ville in Normandy, with a tower on one side, spanking new under a thin beard of raw ivy, and a marble swimming pool, and more than forty acres of lawn and garden. It was Gatsby’s mansion. Or, rather, as I didn’t know Mr. Gatsby, it was a mansion inhabited by a gentleman of that name. My own house was an eyesore, but it was a small eyesore, and it had been overlooked, so I had a view of the water, a partial view of my neighbour’s lawn, and the consoling proximity of millionaires--all for eighty dollars a month.",3,"The Normandy American Cemetery and Memorial in France is located in Colleville-sur-Mer, on the site of the temporary American St. Laurent Cemetery, established by the U.S. First Army on June 8, 1944 as the first American cemetery on European soil in World War II. The cemetery site, at the north end of its half mile access road, covers 172.5 acres and contains the graves of 9,386 of our military dead, most of whom lost their lives in the D-Day landings and ensuing operations. On the Walls of the Missing, in a semicircular garden on the east side of the memorial, are inscribed 1,557 names. Rosettes mark the names of those since recovered and identified.",3,0,2
4,0,"I lived at West Egg, the--well, the less fashionable of the two, though this is a most superficial tag to express the bizarre and not a little sinister contrast between them. My house was at the very tip of the egg, only fifty yards from the Sound, and squeezed between two huge places that rented for twelve or fifteen thousand a season. The one on my right was a colossal affair by any standard--it was a factual imitation of some Hotel de Ville in Normandy, with a tower on one side, spanking new under a thin beard of raw ivy, and a marble swimming pool, and more than forty acres of lawn and garden. It was Gatsby’s mansion. Or, rather, as I didn’t know Mr. Gatsby, it was a mansion inhabited by a gentleman of that name. My own house was an eyesore, but it was a small eyesore, and it had been overlooked, so I had a view of the water, a partial view of my neighbour’s lawn, and the consoling proximity of millionaires--all for eighty dollars a month.",4,"The other girl, Daisy, made an attempt to rise—she leaned slightly forward with a conscientious expression—then she laughed, an absurd, charming little laugh, and I laughed too and came forward into the room.",4,0,3
5,5,"Daisy put her arm through his abruptly, but he seemed absorbed in what he had just said. Possibly it had occurred to him that the colossal significance of that light had now vanished forever. Compared to the great distance that had separated him from Daisy it had seemed very near to her, almost touching her. It had seemed as close as a star to the moon. Now it was again a green light on a dock. His count of enchanted objects had diminished by one.",5,"Daisy put her arm through his abruptly, but he seemed absorbed in what he had just said. Possibly it had occurred to him that the colossal significance of that light had now vanished forever. Compared to the great distance that had separated him from Daisy it had seemed very near to her, almost touching her. It had seemed as close as a star to the moon. Now it was again a green light on a dock. His count of enchanted objects had diminished by one.",0,1,1
6,5,"Daisy put her arm through his abruptly, but he seemed absorbed in what he had just said. Possibly it had occurred to him that the colossal significance of that light had now vanished forever. Compared to the great distance that had separated him from Daisy it had seemed very near to her, almost touching her. It had seemed as close as a star to the moon. Now it was again a green light on a dock. His count of enchanted objects had diminished by one.",6,"Daisy eloped his arm quickly, but he seemed to be thinking about what he had just said. It may have occurred to him that the colossal significance of that light had now vanished forever. Compared to the vast distance that had separated him from Daisy it had appeared very close to her. It had seemed as close as the moon to a star. Now it reverted back to a green dock light. His count of enchanted objects reduced by one.",1,1,1
7,5,"Daisy put her arm through his abruptly, but he seemed absorbed in what he had just said. Possibly it had occurred to him that the colossal significance of that light had now vanished forever. Compared to the great distance that had separated him from Daisy it had seemed very near to her, almost touching her. It had seemed as close as a star to the moon. Now it was again a green light on a dock. His count of enchanted objects had diminished by one.",7,"Although Daisy quickly eloped his arm, he seemed to be thinking about what he had just said.  He may have realized that the significance of the light had permanently disappeared.  Whereas before it was so close to her that it could symbolize her, it was now just a green light on a dock.  ",2,1,1
8,5,"Daisy put her arm through his abruptly, but he seemed absorbed in what he had just said. Possibly it had occurred to him that the colossal significance of that light had now vanished forever. Compared to the great distance that had separated him from Daisy it had seemed very near to her, almost touching her. It had seemed as close as a star to the moon. Now it was again a green light on a dock. His count of enchanted objects had diminished by one.",8,"The bright stars that can lie close to the Moon all lie in constellations of the Zodiac. That’s because the Moon’s path through the heavens stays close to the ecliptic, the imaginary line around the celestial sphere marking the plane of the Earth’s own orbit around the Sun.",3,1,4
9,5,"Daisy put her arm through his abruptly, but he seemed absorbed in what he had just said. Possibly it had occurred to him that the colossal significance of that light had now vanished forever. Compared to the great distance that had separated him from Daisy it had seemed very near to her, almost touching her. It had seemed as close as a star to the moon. Now it was again a green light on a dock. His count of enchanted objects had diminished by one.",9,"Then came the war, old sport. It was a great relief, and I tried very hard to die, but I seemed to bear an enchanted life. I accepted a commission as first lieutenant when it began. In the Argonne Forest I took the remains of my machine-gun battalion so far forward that there was a half mile gap on either side of us where the infantry couldn’t advance. We stayed there two days and two nights, a hundred and thirty men with sixteen Lewis guns, and when the infantry came up at last they found the insignia of three German divisions among the piles of dead. I was promoted to be a major, and every Allied government gave me a decoratio--even Montenegro, little Montenegro down on the Adriatic Sea!",4,1,5
10,10,"And so it happened that on a warm windy evening I drove over to East Egg to see two old friends whom I scarcely knew at all. Their house was even more elaborate than I expected, a cheerful red-and-white Georgian Colonial mansion, overlooking the bay. The lawn started at the beach and ran towards the front door for a quarter of a mile, jumping over sundials and brick walks and burning gardens--finally when it reached the house drifting up the side in bright vines as though from the momentum of its run.",10,"And so it happened that on a warm windy evening I drove over to East Egg to see two old friends whom I scarcely knew at all. Their house was even more elaborate than I expected, a cheerful red-and-white Georgian Colonial mansion, overlooking the bay. The lawn started at the beach and ran towards the front door for a quarter of a mile, jumping over sundials and brick walks and burning gardens--finally when it reached the house drifting up the side in bright vines as though from the momentum of its run.",0,0,0
11,10,"And so it happened that on a warm windy evening I drove over to East Egg to see two old friends whom I scarcely knew at all. Their house was even more elaborate than I expected, a cheerful red-and-white Georgian Colonial mansion, overlooking the bay. The lawn started at the beach and ran towards the front door for a quarter of a mile, jumping over sundials and brick walks and burning gardens--finally when it reached the house drifting up the side in bright vines as though from the momentum of its run.",11,"On a warm windy evening I drove over to East Egg to see 2 old friends. Their house was even more elaborate than I expected, a cheerful red-and-white Georgian Colonial mansion that overlooked the bay. The lawn stretched a quarter of a mile from the beach to the front door, jumping over sundials and brick walks and burning garden.  When it reached the house it drifted up the side in bright vines.",1,0,0
12,10,"And so it happened that on a warm windy evening I drove over to East Egg to see two old friends whom I scarcely knew at all. Their house was even more elaborate than I expected, a cheerful red-and-white Georgian Colonial mansion, overlooking the bay. The lawn started at the beach and ran towards the front door for a quarter of a mile, jumping over sundials and brick walks and burning gardens--finally when it reached the house drifting up the side in bright vines as though from the momentum of its run.",12,"One evening I drove to East Egg to see 2 old acquaintences. Their house was an unexpectedly elaborate and cheerful Georgian Colonial mansion that overlooked the bay. The lawn streched a quarter of a mile from the beach to the front door.  It included sundials, brick walls, gardens, and bright vines that drifted up the house.",2,0,0
13,10,"And so it happened that on a warm windy evening I drove over to East Egg to see two old friends whom I scarcely knew at all. Their house was even more elaborate than I expected, a cheerful red-and-white Georgian Colonial mansion, overlooking the bay. The lawn started at the beach and ran towards the front door for a quarter of a mile, jumping over sundials and brick walks and burning gardens--finally when it reached the house drifting up the side in bright vines as though from the momentum of its run.",13,"Examine what the vines are growing on before you start. They can creep between masonry and stone joints, under vinyl siding and into the mortar between bricks. If you think pulling the vines off your structure will do more harm than good, first kill them by cutting them to 4 to 6 inches above the ground.",3,0,6
14,10,"And so it happened that on a warm windy evening I drove over to East Egg to see two old friends whom I scarcely knew at all. Their house was even more elaborate than I expected, a cheerful red-and-white Georgian Colonial mansion, overlooking the bay. The lawn started at the beach and ran towards the front door for a quarter of a mile, jumping over sundials and brick walks and burning gardens--finally when it reached the house drifting up the side in bright vines as though from the momentum of its run.",14,"I just got here a minute ago, from New York. I was bringing you that coupe we’ve been talking about. That yellow car I was driving this afternoon wasn’t mine—do you hear? I haven’t seen it all afternoon.",4,0,7